City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Ponta Do Sol,PT,2020-07-06 19:46:50,32.67,-17.1,75.2,78,20,4.7
71,Yulara,AU,2020-07-06 19:46:50,-25.24,130.99,39.2,64,0,5.82
72,Maceio,BR,2020-07-06 19:46:11,-9.67,-35.74,78.8,65,40,11.41
73,Szendro,HU,2020-07-06 19:46:50,48.4,20.73,69.8,83,75,24.16
74,Sao Joao Da Barra,BR,2020-07-06 19:46:50,-21.64,-41.05,86.0,42,0,6.93
75,Kapoeta,SS,2020-07-06 19:46:50,4.77,33.59,72.05,84,99,3.42
76,Tuktoyaktuk,CA,2020-07-06 19:46:51,69.45,-133.04,44.6,81,90,11.41
77,East London,ZA,2020-07-06 19:46:26,-33.02,27.91,73.11,21,0,10.04
78,Touros,BR,2020-07-06 19:46:51,-5.2,-35.46,78.8,88,75,8.05
79,Qaanaaq,GL,2020-07-06 19:46:51,77.48,-69.36,46.49,55,0,1.03
80,Wahpeton,US,2020-07-06 19:46:51,46.27,-96.61,79.0,57,0,5.82
81,Leningradskiy,RU,2020-07-06 19:46:52,69.38,178.42,44.74,78,79,4.72
82,Amapa,BR,2020-07-06 19:46:52,1.0,-52.0,78.46,95,74,3.27
83,Bubaque,GW,2020-07-06 19:46:52,11.28,-15.83,80.82,83,15,13.18
84,Constitucion,CL,2020-07-06 19:42:26,-35.33,-72.42,53.02,65,93,3.98
85,Pangnirtung,CA,2020-07-06 19:46:52,66.15,-65.71,44.6,87,75,16.11
86,Port Hardy,CA,2020-07-06 19:46:52,50.7,-127.42,59.0,77,90,8.05
87,Saint George,US,2020-07-06 19:43:15,37.1,-113.58,102.99,9,1,5.82
88,Kavieng,PG,2020-07-06 19:46:53,-2.57,150.8,82.08,77,34,13.58
89,New Norfolk,AU,2020-07-06 19:46:53,-42.78,147.06,37.0,82,18,1.99
90,Paita,PE,2020-07-06 19:46:53,-5.09,-81.11,77.0,61,2,16.11
91,Turayf,SA,2020-07-06 19:46:53,31.67,38.66,86.0,42,0,16.11
92,Hearst,CA,2020-07-06 19:46:53,49.68,-83.67,87.15,41,100,8.46
93,Beloha,MG,2020-07-06 19:42:25,-25.17,45.05,60.87,94,6,6.33
94,Mataura,NZ,2020-07-06 19:46:54,-46.19,168.86,43.72,91,100,7.87
95,Acapulco,MX,2020-07-06 19:42:56,16.86,-99.89,89.6,66,40,5.82
96,Ahipara,NZ,2020-07-06 19:46:54,-35.17,173.17,55.83,73,3,18.3
97,Butaritari,KI,2020-07-06 19:46:54,3.07,172.79,83.84,73,71,14.83
98,Puerto Ayora,EC,2020-07-06 19:46:55,-0.74,-90.35,77.0,69,75,19.46
99,Braintree,GB,2020-07-06 19:46:04,51.88,0.55,64.99,62,0,9.4
100,Pevek,RU,2020-07-06 19:42:01,69.7,170.31,47.17,71,0,15.1
101,Nongan,CN,2020-07-06 19:46:55,44.38,125.17,64.4,88,75,4.47
102,Bushehr,IR,2020-07-06 19:46:55,28.97,50.84,91.4,55,0,6.93
103,Saint Anthony,US,2020-07-06 19:46:55,45.02,-93.22,87.01,48,40,8.05
104,Aitape,PG,2020-07-06 19:46:56,-3.14,142.35,77.38,81,97,5.82
105,Sao Filipe,CV,2020-07-06 19:42:15,14.9,-24.5,74.55,81,2,8.34
106,Cayenne,GF,2020-07-06 19:45:39,4.93,-52.33,86.0,70,0,9.17
107,Bondoukou,CI,2020-07-06 19:46:56,8.03,-2.8,72.86,89,71,3.22
108,Chapais,CA,2020-07-06 19:46:56,49.78,-74.85,78.8,26,1,5.82
109,Isangel,VU,2020-07-06 19:46:56,-19.55,169.27,68.0,94,90,14.61
110,Margate,GB,2020-07-06 19:42:25,51.38,1.39,66.0,57,7,1.99
111,Narsaq,GL,2020-07-06 19:46:57,60.92,-46.05,50.0,61,75,9.17
112,Minas,UY,2020-07-06 19:46:57,-34.38,-55.24,51.8,76,75,10.29
113,Codrington,AU,2020-07-06 19:46:57,-38.27,141.97,50.47,81,97,1.25
114,Sikonge,TZ,2020-07-06 19:46:57,-5.63,32.77,69.8,60,84,4.85
115,Chihuahua,MX,2020-07-06 19:46:13,28.5,-106.0,89.6,27,40,5.82
116,Peniche,PT,2020-07-06 19:42:13,39.36,-9.38,71.01,79,1,5.01
117,Srednekolymsk,RU,2020-07-06 19:46:58,67.45,153.68,49.59,94,100,8.95
118,Huambo,AO,2020-07-06 19:46:58,-12.78,15.74,53.94,38,6,4.56
119,Rengo,CL,2020-07-06 19:46:58,-34.42,-70.87,51.8,66,90,2.24
