City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
53,Chokurdakh,RU,70.63,147.92,45.1,80,99,11.12,overcast clouds,0.0,0.0,2020-07-09 18:45:02
54,Colombo,LK,6.93,79.85,82.4,83,40,6.93,scattered clouds,0.0,0.0,2020-07-09 18:45:03
55,Atuona,PF,-9.8,-139.03,79.59,77,4,15.05,clear sky,0.0,0.0,2020-07-09 18:45:03
56,Tuktoyaktuk,CA,69.45,-133.04,37.4,86,90,12.75,light intensity drizzle,0.0,0.0,2020-07-09 18:45:03
57,Hobart,AU,-42.88,147.33,37.4,93,0,9.17,clear sky,0.0,0.0,2020-07-09 18:42:14
58,Mehamn,NO,71.04,27.85,46.4,93,75,12.75,broken clouds,0.0,0.0,2020-07-09 18:45:04
59,Castro,BR,-24.79,-50.01,58.57,54,100,3.36,overcast clouds,0.0,0.0,2020-07-09 18:45:04
60,Dubti,ET,11.74,41.09,96.48,26,90,8.14,light rain,0.0,0.0,2020-07-09 18:45:04
61,Busselton,AU,-33.65,115.33,41.0,86,0,7.25,clear sky,0.0,0.0,2020-07-09 18:43:45
62,Harper,LR,4.38,-7.72,76.55,83,100,10.51,overcast clouds,0.0,0.0,2020-07-09 18:45:04
63,Gat,IL,31.61,34.76,81.0,69,0,5.84,clear sky,0.0,0.0,2020-07-09 18:45:05
64,Sitka,US,57.05,-135.33,55.4,93,90,3.36,light rain,0.0,0.0,2020-07-09 18:35:17
65,Jinchang,CN,38.5,102.17,72.48,30,0,10.27,clear sky,0.0,0.0,2020-07-09 18:45:05
66,East London,ZA,-33.02,27.91,70.7,52,0,15.95,clear sky,0.0,0.0,2020-07-09 18:45:05
67,Hermanus,ZA,-34.42,19.23,53.01,88,100,7.0,moderate rain,0.1,0.0,2020-07-09 18:45:05
68,Cockburn Town,TC,21.46,-71.14,86.0,74,40,17.22,scattered clouds,0.0,0.0,2020-07-09 18:34:59
69,Buchanan,LR,5.88,-10.05,77.0,94,75,4.7,light intensity drizzle,0.0,0.0,2020-07-09 18:45:06
70,Mocuba,MZ,-16.84,36.99,64.69,93,0,2.64,clear sky,0.0,0.0,2020-07-09 18:45:06
71,Ormond Beach,US,29.29,-81.06,93.99,59,40,10.29,scattered clouds,0.0,0.0,2020-07-09 18:45:06
