City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
346,Marawi,PH,8.0,124.29,75.0,90,0,5.01,clear sky,0.0,0.0,2020-07-09 18:46:03
348,Miri,MY,4.41,114.01,75.2,100,40,6.93,scattered clouds,0.0,0.0,2020-07-09 18:46:03
357,Porec,HR,45.23,13.59,78.8,61,0,4.7,clear sky,0.0,0.0,2020-07-09 18:46:05
358,Odienne,CI,9.51,-7.57,75.2,89,100,3.04,light rain,0.0,0.0,2020-07-09 18:46:06
364,Shubarkuduk,KZ,49.14,56.49,78.4,39,0,11.23,clear sky,0.0,0.0,2020-07-09 18:46:07
379,Mao,ES,39.89,4.27,77.0,69,8,9.17,clear sky,0.0,0.0,2020-07-09 18:46:05
381,Muisne,EC,0.6,-80.03,76.59,85,88,12.93,overcast clouds,0.0,0.0,2020-07-09 18:46:11
382,Myanaung,MM,18.28,95.32,78.85,83,100,6.33,overcast clouds,0.0,0.0,2020-07-09 18:46:11
390,Belmonte,BR,-15.86,-38.88,77.0,73,75,8.05,broken clouds,0.0,0.0,2020-07-09 18:46:13
400,Vanimo,PG,-2.67,141.3,77.43,87,98,6.64,overcast clouds,0.0,0.0,2020-07-09 18:46:15
409,Takoradi,GH,4.88,-1.76,76.08,88,100,8.08,overcast clouds,0.0,0.0,2020-07-09 18:46:16
418,Tateyama,JP,34.98,139.87,75.0,96,100,4.0,overcast clouds,0.0,0.0,2020-07-09 18:46:18
437,Meulaboh,ID,4.14,96.13,76.75,81,100,4.34,overcast clouds,0.0,0.0,2020-07-09 18:46:22
445,Sioux Lookout,CA,50.1,-91.92,77.0,73,75,9.17,broken clouds,0.0,0.0,2020-07-09 18:43:03
447,Malakal,SS,9.53,31.66,76.98,75,100,3.71,overcast clouds,0.0,0.0,2020-07-09 18:46:24
452,Merrill,US,45.18,-89.68,75.2,88,75,6.93,light rain,0.0,0.0,2020-07-09 18:46:25
